Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,64,102,111,127,118,97,130,155,148,196,110,121
1,46,98,90,105,81,53,131,117,113,91,78,87
2,38,78,80,81,60,36,119,156,105,47,82,65
3,43,106,98,154,63,36,203,240,194,122,175,102
4,44,95,120,159,54,35,221,245,197,139,144,89
5,52,106,162,182,64,37,199,230,213,146,146,98
6,60,115,163,184,72,38,210,210,180,144,161,120
7,77,168,225,192,72,42,205,217,177,162,166,79
8,80,258,292,220,74,45,190,197,166,156,157,85
9,93,240,287,166,74,48,156,162,133,137,145,58
10,137,391,414,177,91,58,145,179,136,134,140,70
11,182,499,493,164,92,62,166,158,159,131,184,74
12,239,565,549,168,101,66,199,223,166,144,170,80
13,200,464,406,147,93,69,136,163,125,117,119,70
14,232,435,369,104,100,67,121,124,102,110,115,58
15,234,493,721,197,119,78,159,168,156,137,165,99
16,185,293,361,141,106,83,90,100,88,82,99,65
17,185,250,306,124,107,85,88,101,83,66,98,64
18,194,261,321,144,110,89,92,93,87,79,120,68
19,187,276,333,135,107,88,85,97,81,62,115,64
20,213,289,309,162,117,79,94,101,83,74,133,69
21,202,294,357,173,111,90,101,105,87,74,130,63
22,229,292,328,194,153,95,99,102,85,67,105,61
23,195,270,284,184,154,82,105,119,81,72,114,59
24,186,336,299,193,151,110,100,102,86,66,95,62
25,192,294,271,201,153,91,105,92,78,51,70,50
