Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,553,1216,1566,1277,1431,953,1445,1729,1479,1785,662,708
1,541,1263,1205,1203,906,599,998,992,941,697,505,568
2,442,659,781,600,530,419,504,619,451,169,358,274
3,509,775,741,904,526,438,693,705,751,386,1090,588
4,460,555,640,699,427,368,586,623,560,384,744,492
5,444,493,621,552,365,313,515,502,530,339,502,426
6,444,473,615,526,349,289,482,472,449,338,482,314
7,508,671,758,533,329,275,494,472,461,382,520,290
8,537,803,1023,517,310,270,445,449,398,361,389,291
9,624,974,1182,457,296,269,372,365,350,318,364,198
10,1020,1535,2022,437,317,274,332,410,337,288,317,224
11,1281,1862,2837,354,299,265,345,338,322,250,345,237
12,1482,1953,3215,341,305,262,401,414,339,287,373,231
13,1693,2124,2895,340,289,261,291,325,270,217,241,207
14,1872,2179,2858,245,289,233,259,251,225,205,211,157
15,2256,2788,3606,433,326,269,336,352,334,249,339,300
16,2850,2855,5174,339,308,272,197,218,207,564,777,187
17,2076,1843,2555,322,319,290,202,225,205,121,189,180
18,2007,1901,2603,337,306,267,188,187,187,124,228,166
19,2221,2117,2765,299,305,265,179,198,181,97,201,168
20,2316,2453,2812,353,308,241,206,214,183,117,201,177
21,2419,2651,3135,372,314,263,228,236,190,102,211,152
22,2684,2764,3126,400,397,300,238,235,200,111,180,156
23,2590,2769,2749,396,388,255,235,234,193,106,158,133
24,2717,2805,3082,425,411,240,298,211,191,93,130,146
25,2773,2996,2955,478,424,305,247,234,215,88,107,143
,,,,,,,,,,,,
