Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,184,405,522,426,477,318,482,576,493,595,221,236
1,180,421,402,401,302,200,333,331,314,232,168,189
2,147,220,260,200,177,140,168,206,150,56,119,91
3,170,258,247,301,175,146,231,235,250,129,363,196
4,153,185,213,233,142,123,195,208,187,128,248,164
5,148,164,207,184,122,104,172,167,177,113,167,142
6,148,158,205,175,116,96,161,157,150,113,161,105
7,169,224,253,178,110,91,165,157,154,127,173,97
8,179,268,341,172,103,90,148,150,133,120,130,97
9,208,325,394,152,99,90,124,122,117,106,121,66
10,340,512,674,146,106,91,111,137,112,96,106,75
11,427,621,946,118,100,88,115,113,107,83,115,79
12,494,651,1072,114,102,87,134,138,113,96,124,77
13,564,708,965,113,96,87,97,108,90,72,80,69
14,624,726,953,82,96,78,86,84,75,68,70,52
15,752,929,1202,144,109,90,112,117,111,83,113,100
16,950,952,1725,113,103,91,66,73,69,188,259,62
17,692,614,851,107,106,97,67,75,68,40,63,60
18,669,634,868,112,102,89,63,62,62,41,76,55
19,740,706,921,100,102,88,60,66,60,32,67,56
20,772,818,937,118,103,80,69,71,61,39,67,59
21,806,883,1045,124,105,88,76,79,63,34,70,51
22,895,921,1042,133,132,100,79,78,67,37,60,52
23,863,923,916,132,129,85,78,78,64,35,53,44
24,906,935,1027,142,137,80,99,70,64,31,43,49
25,924,999,985,159,141,102,82,78,72,29,36,48
,,,,,,,,,,,,
