Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,10.82,18.96,18.53,20.08,16.54,11.01,21.29,24.34,24.42,41.93,21.17,19.84
1,9.17,17.86,15.52,17.01,13.00,7.98,17.95,17.29,16.83,19.70,14.69,13.63
2,7.18,12.10,11.97,11.31,8.41,5.12,12.73,15.77,11.47,6.52,12.03,8.48
3,8.05,16.44,14.85,17.58,7.87,4.96,19.10,20.74,18.72,13.39,24.06,13.25
4,8.32,14.44,17.20,16.25,6.60,4.81,18.05,18.43,16.52,14.10,17.05,10.70
5,9.44,15.43,21.09,16.14,7.13,4.78,15.20,15.28,14.97,12.50,14.04,10.72
6,11.21,16.53,23.78,15.18,7.63,4.76,13.02,12.89,12.54,12.61,14.08,8.30
7,14.54,23.50,29.99,15.00,7.29,4.90,11.72,10.90,11.69,12.64,15.36,7.43
8,18.62,35.85,42.37,14.16,7.83,5.50,10.76,10.62,9.86,12.41,12.19,8.07
9,21.26,21.15,44.98,11.07,7.32,5.55,8.53,8.12,7.93,10.08,11.02,5.32
10,34.87,64.14,70.69,12.10,8.96,6.62,8.23,9.54,8.52,9.48,10.81,6.16
11,41.68,68.28,74.11,9.25,8.71,6.70,7.60,7.16,7.44,9.35,10.59,6.28
12,49.88,72.63,71.72,8.39,9.27,6.93,8.04,8.69,8.22,9.67,10.55,6.74
13,51.11,68.71,64.77,8.51,9.12,7.79,6.63,7.29,6.65,7.38,7.45,6.31
14,53.77,60.48,50.85,5.29,8.55,6.60,5.39,5.21,5.37,6.44,6.42,4.68
15,52.55,70.47,59.39,10.00,9.70,7.57,6.93,6.91,7.42,8.81,9.79,7.69
16,48.83,43.45,52.61,7.44,9.08,8.00,4.59,4.55,4.61,5.56,5.77,5.01
17,54.51,38.69,43.88,6.74,8.94,8.08,4.44,4.52,4.37,4.17,5.38,5.00
18,52.88,40.42,43.97,7.21,8.89,8.20,4.54,4.23,4.50,4.96,5.91,5.05
19,48.86,43.85,44.75,6.36,8.68,8.04,3.92,4.16,4.08,3.85,5.74,4.56
20,44.83,42.68,39.24,6.48,8.26,7.03,4.11,4.10,3.93,4.49,6.00,4.53
21,49.99,51.11,47.22,7.13,9.07,7.72,4.51,4.62,4.02,4.46,6.16,4.00
22,52.26,51.51,50.35,7.00,10.60,8.73,4.40,4.22,4.09,4.18,5.22,3.94
23,49.58,49.59,40.30,6.43,10.06,6.91,4.33,4.03,3.68,4.30,5.07,3.64
24,53.30,51.61,48.29,7.05,10.43,4.74,8.80,4.07,3.98,4.23,4.53,5.49
25,60.07,59.06,51.05,8.46,12.26,10.23,5.91,5.08,5.07,4.75,5.93,4.96
,,,,,,,,,,,,
