Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,10793,10793,10793,21995,21995,21995,82287,82287,82287,115652,115652,115652
1,10730,10692,10683,21868,21877,21897,82157,82132,82139,115456,115542,115530
2,10683,10594,10593,21762,21796,21844,82026,82015,82026,115365,115464,115444
3,10646,10516,10513,21682,21736,21809,81907,81859,81921,115318,115382,115379
4,10603,10410,10415,21527,21673,21772,81705,81619,81727,115196,115207,115277
5,10559,10315,10295,21369,21619,21737,81484,81374,81530,115057,115063,115188
6,10507,10209,10134,21186,21555,21700,81285,81144,81317,114911,114917,115090
7,10447,10094,9971,21002,21483,21661,81075,80934,81138,114767,114756,114970
8,10370,9926,9747,20810,21411,21619,80871,80717,80961,114605,114590,114891
9,10290,9668,9454,20589,21337,21574,80681,80520,80796,114449,114433,114806
10,10197,9428,9167,20423,21263,21526,80525,80358,80662,114312,114288,114748
11,10061,9037,8753,20246,21172,21467,80380,80179,80526,114178,114148,114679
12,9878,8538,8260,20082,21080,21405,80214,80021,80368,114047,113964,114605
13,9639,7973,7711,19913,20979,21339,80015,79798,80201,113903,113794,114525
14,9439,7509,7305,19766,20887,21270,79879,79636,80076,113786,113675,114455
15,9207,7074,6935,19662,20787,21203,79757,79511,79974,113676,113560,114397
16,8973,6581,6214,19465,20668,21124,79599,79343,79818,113539,113395,114297
17,8787,6287,5853,19324,20562,21041,79509,79244,79730,113457,113296,114232
18,8602,6038,5547,19200,20456,20957,79421,79143,79647,113391,113198,114168
19,8408,5777,5226,19055,20346,20868,79329,79050,79560,113312,113078,114100
20,8221,5501,4894,18920,20238,20779,79245,78953,79479,113250,112963,114036
21,8008,5212,4585,18758,20122,20700,79151,78852,79396,113176,112830,113967
22,7806,4919,4228,18585,20011,20610,79050,78747,79310,113102,112700,113904
23,7577,4626,3900,18392,19857,20515,78950,78645,79225,113035,112595,113843
24,7382,4356,3616,18208,19703,20433,78846,78526,79144,112963,112481,113784
25,7196,4020,3317,18015,19552,20323,78745,78424,79057,112897,112386,113722
