Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,2447,2447,2447,2374,2374,2374,1979,1979,1979,1760,1760,1760
1,2441,2434,2431,2360,2359,2364,1964,1961,1963,1741,1753,1753
2,2436,2421,2418,2348,2349,2358,1953,1950,1953,1734,1748,1747
3,2431,2414,2410,2342,2344,2353,1948,1944,1949,1732,1744,1744
4,2426,2406,2402,2332,2338,2349,1941,1936,1941,1728,1733,1738
5,2421,2401,2396,2325,2334,2345,1935,1930,1935,1724,1725,1732
6,2416,2395,2389,2319,2330,2342,1929,1925,1930,1721,1720,1728
7,2412,2391,2383,2314,2327,2339,1924,1920,1925,1717,1715,1725
8,2407,2384,2375,2308,2323,2336,1919,1915,1920,1713,1709,1722
9,2401,2375,2364,2303,2320,2333,1914,1910,1916,1709,1705,1719
10,2394,2365,2352,2298,2317,2330,1911,1906,1912,1706,1701,1717
11,2384,2349,2331,2293,2313,2327,1907,1902,1909,1703,1698,1714
12,2370,2330,2301,2290,2310,2324,1903,1899,1905,1701,1695,1712
13,2355,2309,2268,2286,2307,2322,1899,1894,1902,1698,1691,1709
14,2337,2287,2238,2283,2304,2319,1896,1891,1899,1695,1688,1707
15,2318,2264,2208,2280,2301,2317,1894,1888,1897,1693,1686,1706
16,2294,2235,2170,2276,2298,2314,1890,1885,1893,1691,1682,1703
17,2265,2206,2117,2272,2295,2311,1888,1882,1891,1685,1674,1701
18,2243,2187,2090,2269,2291,2308,1886,1880,1889,1683,1672,1699
19,2222,2167,2063,2265,2288,2305,1884,1878,1887,1682,1670,1697
20,2222,2167,2063,2265,2288,2305,1884,1878,1887,1682,1670,1697
21,2199,2145,2034,2262,2285,2302,1882,1876,1885,1681,1668,1695
21,2175,2119,2005,2258,2282,2300,1880,1874,1883,1680,1666,1693
21,2150,2092,1972,2255,2278,2297,1878,1871,1881,1679,1664,1692
21,2122,2063,1940,2250,2274,2294,1875,1869,1879,1678,1662,1690
21,2095,2034,1911,2246,2270,2291,1873,1866,1877,1677,1660,1689
