Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,78309,78309,78309,75960,75960,75960,63314,63314,63314,56317,56317,56317
1,78125,77904,77787,75534,75483,75642,62833,62738,62821,55722,56096,56081
2,77945,77483,77385,75133,75181,75442,62500,62408,62508,55489,55928,55891
3,77797,77263,77125,74933,75004,75303,62332,62201,62358,55433,55808,55800
4,77628,77005,76878,74632,74829,75157,62101,61966,62107,55304,55445,55604
5,77474,76820,76665,74399,74686,75034,61906,61758,61921,55177,55197,55440
6,77326,76656,76458,74215,74565,74930,61734,61591,61744,55064,55030,55298
7,77178,76498,76253,74039,74448,74834,61574,61434,61594,54951,54869,55193
8,77009,76274,76000,73862,74339,74742,61409,61276,61441,54824,54695,55096
9,76830,76007,75659,73689,74236,74652,61261,61127,61308,54704,54566,54999
10,76622,75682,75265,73537,74137,74563,61136,61005,61191,54598,54445,54933
11,76282,75170,74591,73392,74031,74471,61026,60868,61079,54502,54339,54859
12,75855,74550,73645,73274,73931,74383,60911,60756,60972,54418,54224,54780
13,75361,73899,72574,73160,73830,74296,60777,60617,60859,54322,54100,54703
14,74797,73190,71609,73047,73733,74209,60680,60509,60769,54250,54020,54634
15,74173,72464,70656,72965,73637,74131,60594,60425,60694,54182,53949,54582
16,73421,71535,69454,72821,73528,74041,60482,60308,60582,54099,53836,54482
17,72471,70583,67729,72708,73425,73951,60416,60236,60513,53910,53577,54419
18,71779,69969,66878,72600,73319,73854,60349,60161,60445,53870,53514,54359
19,71110,69335,66010,72488,73217,73765,60286,60098,60382,53829,53438,54304
20,70370,68629,65088,72388,73115,73677,60227,60032,60322,53797,53371,54248
21,69598,67812,64151,72271,73013,73597,60158,59961,60261,53758,53304,54189
21,68791,66928,63106,72146,72908,73509,60082,59882,60198,53723,53234,54138
21,67897,66007,62064,72013,72776,73409,60002,59804,60131,53686,53174,54086
21,67034,65084,61148,71881,72646,73324,59924,59726,60067,53651,53121,54042
21,66128,64149,60121,71739,72509,73244,59825,59655,60003,53620,53078,53993
